Y,DATETIME,TOTAL_DL
2016,2016/12/9,86727629.75
2016,2016/12/10,87540537.36
2016,2016/12/11,86712674.46
2016,2016/12/12,83492690.26
2016,2016/12/13,86044626.35
2016,2016/12/14,88003577.63
2016,2016/12/15,89889868.02
2016,2016/12/16,89949701.77
2016,2016/12/17,90234850.98
2016,2016/12/18,88875731.63
2016,2016/12/19,85623169.06
2016,2016/12/20,87783482.84
2016,2016/12/21,88875803.83
2016,2016/12/22,87838825.18
2016,2016/12/23,88705675.48
2016,2016/12/24,89224160.46
2016,2016/12/25,88612825.77
2016,2016/12/26,85518601.93
2016,2016/12/27,88692425.65
2016,2016/12/28,90688663.26
2016,2016/12/29,90880382.34
2016,2016/12/30,91112870.59
2016,2016/12/31,90365436.43
2017,2017/1/1,86613675.04
2017,2017/1/2,77161713.23
2017,2017/1/3,82167540.97
2017,2017/1/4,86256833.25
2017,2017/1/5,86547925.25
2017,2017/1/6,86593861.81
2017,2017/1/7,86371707.1
2017,2017/1/8,84042744.67
2017,2017/1/9,81977348.58
2017,2017/1/10,84697957.37
2017,2017/1/11,84866214.62
2017,2017/1/12,84156636.76
2017,2017/1/13,82809410.53
2017,2017/1/14,78338826.46
2017,2017/1/15,75337894.68
2017,2017/1/16,69180403.39
2017,2017/1/17,65676461.96
2017,2017/1/18,59599802.28
2017,2017/1/19,53096126.56
2017,2017/1/20,48183419.59
2017,2017/1/21,43185704.31
2017,2017/1/22,36912707.65
2017,2017/1/23,33731883.48
2017,2017/1/24,30807791.54
2017,2017/1/25,27325324.81
2017,2017/1/26,24012365.38
2017,2017/1/27,21275850.51
2017,2017/1/28,18526031.23
2017,2017/1/29,18010435.84
2017,2017/1/30,17871765.41
2017,2017/1/31,18916994.83
2017,2017/2/1,19868603.06
2017,2017/2/2,20598864.54
2017,2017/2/3,21419997.64
2017,2017/2/4,23982372.57
2017,2017/2/5,27893198.05
2017,2017/2/6,31180924.48
2017,2017/2/7,37261798.32
2017,2017/2/8,43045482.79
2017,2017/2/9,50825922.29
2017,2017/2/10,57526169.6
2017,2017/2/11,61493909.19
2017,2017/2/12,62686389.93
2017,2017/2/13,63832114.33
2017,2017/2/14,69849189.8
2017,2017/2/15,72807468.09
2017,2017/2/16,74542940.43
2017,2017/2/17,76410338.03
2017,2017/2/18,78965196.14
2017,2017/2/19,80897745.03
2017,2017/2/20,78181753.15
2017,2017/2/21,82328657.47
2017,2017/2/22,85337169.73
2017,2017/2/23,87637752.85
2017,2017/2/24,89788617.81
2017,2017/2/25,89159244.22
2017,2017/2/26,87556445.92
2017,2017/2/27,84823325.44
2017,2017/2/28,88167162.55
2017,2017/3/1,87759300.72
2017,2017/3/2,87445808.97
2017,2017/3/3,89365923.34
2017,2017/3/4,89932021.12
2017,2017/3/5,88918048.55
2017,2017/3/6,86619032.72
2017,2017/3/7,90454443.9
2017,2017/3/8,91205089.2
2017,2017/3/9,91158760.93
2017,2017/3/10,90964879.42
2017,2017/3/11,91093218.02
2017,2017/3/12,90812634.6
2017,2017/3/13,87927743.6
2017,2017/3/14,91711737.73
2017,2017/3/15,91868539.48
2017,2017/3/16,92225560.24
2017,2017/3/17,92661939.68
2017,2017/3/18,92233995.02
2017,2017/3/19,91389095.08
2017,2017/3/20,88520666.01
2017,2017/3/21,91291227.06
2017,2017/3/22,91510624.89
2017,2017/3/23,92720768.72
2017,2017/3/24,92266559.28
2017,2017/3/25,92795064.79
2017,2017/3/26,90704265.74
2017,2017/3/27,86590431.74
2017,2017/3/28,89959160.9
2017,2017/3/29,90122196.31
2017,2017/3/30,89503015.14
2017,2017/3/31,90817214.3
2017,2017/4/1,91078511.07
2017,2017/4/2,89591770.51
2017,2017/4/3,86219265.74
2017,2017/4/4,83853121.6
2017,2017/4/5,76807095.18
2017,2017/4/6,85100710.69
2017,2017/4/7,89048812.21
2017,2017/4/8,89986828.92
2017,2017/4/9,90438121.06
2017,2017/4/10,88196073.42
2017,2017/4/11,89970263.55
2017,2017/4/12,90734708.69
2017,2017/4/13,90359060.15
2017,2017/4/14,90696574.11
2017,2017/4/15,91253315.3
2017,2017/4/16,90299838.56
2017,2017/4/17,87445531.63
2017,2017/4/18,90312365.39
2017,2017/4/19,91061546.23
2017,2017/4/20,90555354.96
2017,2017/4/21,91653616.6
2017,2017/4/22,92271928.57
2017,2017/4/23,91060522.24
2017,2017/4/24,88568407.89
2017,2017/4/25,90937377.52
2017,2017/4/26,91308716.17
2017,2017/4/27,91773610.95
2017,2017/4/28,91626881.49
2017,2017/4/29,90952552.29
2017,2017/4/30,89382085.4
2017,2017/5/1,81644439.81
2017,2017/5/2,68405064.75
2017,2017/5/3,80597211.25
2017,2017/5/4,88877245.21
2017,2017/5/5,90296596.16
2017,2017/5/6,91478254.08
2017,2017/5/7,91720163.7
2017,2017/5/8,89427208.42
2017,2017/5/9,91150444.03
2017,2017/5/10,91799597.78
2017,2017/5/11,92302030.18
2017,2017/5/12,93663798.86
2017,2017/5/13,93053788.47
2017,2017/5/14,92575512.45
2017,2017/5/15,89869676.42
2017,2017/5/16,91922622.9
2017,2017/5/17,92527438.69
2017,2017/5/18,93150078.4
